,XPRO
% Below High,0.127
% Held by Institutions,0.8255
52-Wk Range,['8.83 - 19.68']
Annual Dividend $,
Annual Dividend %,
Ask,19.0
Ask Size,3900.0
B/A Ratio,0.02564102564102564
B/A Size,100x3900
Beta,1.3
Bid,13.65
Bid Size,100.0
Closing Price,17.18
Day Change $,-0.5
Day Change %,-0.028300000000000002
Day High,17.69
Day Low,16.99
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.3
Ex-dividend Date,No dividend
Historical Volatility,0.66
Last (size),2.0
Last (time),7:00p ET 11/28/22
Market Cap,1.9B
"P/E Ratio (TTM, GAAP)",
Prev Close,17.68
Shares Outstanding,108.7M
Short Interest,0.0318
Today's Open,17.1
Volume,317851.0
Volume 10-day Avg,484698.0
Volume Past Day,(Light)
