,BANF
Price/Earnings (TTM),19.87674
Price/Sales (TTM),6.54833
Price/Book (MRQ),2.85059
Price/Cash Flow (TTM),17.37084
5yr Low,26.0
5yr High,118.07
5yr Avg Return,0.12689999999999999
EPS Growth 5yr,0.17771350000000002
Revenue Growth 5yr,0.0839205
Dividend Growth 5yr,0.1358245
Short Int Current Month,737249.0
Short Int Prev Month,813145.0
Short Int Pct of Float,0.0368155
Days to Cover,8.01881
Float,19.6554
Shares Outstanding,32.87057
Institutions Holding Shares,266.0
% Held by Institutions,0.505812
FCF Growth 5yr,0.254316204052508
