,BANF
% Below High,0.12179999999999999
% Held by Institutions,0.5058
52-Wk Range,['62.66 - 118.07']
Annual Dividend $,1.6
Annual Dividend %,0.0154
Ask,161.36
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.1
Bid,90.0
Bid Size,100.0
Closing Price,103.69
Day Change $,2.36
Day Change %,0.0233
Day High,103.89
Day Low,101.13
Dividend Pay Date,2023-01-16 00:00:00
"EPS (TTM, GAAP)",5.22
Ex-dividend,2022-12-29 00:00:00
Ex-dividend Date,12/29/22
Historical Volatility,0.29300000000000004
Last (size),9.0
Last (time),1:00p ET 11/25/22
Market Cap,3.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",19.88
Prev Close,101.33
Shares Outstanding,32.9M
Short Interest,0.0368
Today's Open,101.96
Volume,75520.0
Volume 10-day Avg,73807.0
Volume Past Day,(Average)
