,PNC
% Above Low,0.1462
% Held by Institutions,0.8159000000000001
52-Wk Range,['143.52 - 228.14']
Annual Dividend $,6.0
Annual Dividend %,0.0358
Ask,164.5
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.1
Bid,164.41
Bid Size,100.0
Day Change $,-3.15
Day Change %,-0.018799999999999997
Day High,166.77
Day Low,164.28
Dividend Pay Date,2022-11-05 00:00:00
"EPS (TTM, GAAP)",13.24
Ex-dividend,2022-10-14 00:00:00
Ex-dividend Date,10/14/22
Historical Volatility,0.302
Last (size),122.0
Last (time),11:08a ET 11/28/22
Market Cap,66.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",12.66
Prev Close,167.65
Price,164.5
Shares Outstanding,403.3M
Short Interest,0.013300000000000001
Today's Open,166.04
Volume Past Day,(Light)
