,PNC
Price/Earnings (TTM),12.65959
Price/Sales (TTM),3.30094
Price/Book (MRQ),1.45071
Price/Cash Flow (TTM),10.00539
5yr Low,79.41
5yr High,228.14
5yr Avg Return,0.05375
EPS Growth 5yr,0.1163279
Revenue Growth 5yr,0.029001000000000002
Dividend Growth 5yr,0.17755469999999998
Short Int Current Month,5333866.0
Short Int Prev Month,6669475.0
Short Int Pct of Float,0.0132775
Days to Cover,2.07104
Float,401.9395
Shares Outstanding,403.319
Institutions Holding Shares,1788.0
% Held by Institutions,0.815881
FCF Growth 5yr,
