,RNG
Next Earnings Announcement,2023-02-21 00:00:00
Growth Analysts,28.0
Growth 1yr Low Est,0.4769230769230768
Growth 1yr High Est,0.4888888888888887
Growth 1yr Consensus Est,0.48290598290598274
Growth 2yr Low Est,0.3712740384615385
Growth 2yr High Est,0.5056384742951907
Growth 2yr Consensus Est,0.4384562563783646
Growth 5yr Low Est,0.3530847481420886
Growth 5yr High Est,0.39238771514120246
Growth 5yr Consensus Est,0.37273623164164554
Growth 5yr Actual/Est,0.3660808136339885
Growth 3yr Historic,0.14061722249875563
