,RNG
% Above Low,0.24910000000000002
% Held by Institutions,0.9786
52-Wk Range,['28.00 - 226.70']
Annual Dividend $,
Annual Dividend %,
Ask,35.01
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,0.9
Bid,34.97
Bid Size,100.0
Day Change $,-0.625
Day Change %,-0.0176
Day High,36.75
Day Low,34.87
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-7.52
Ex-dividend Date,No dividend
Historical Volatility,0.7959999999999999
Last (size),10.0
Last (time),1:02p ET 11/28/22
Market Cap,3.4B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,35.6
Price,34.98
Shares Outstanding,96.0M
Short Interest,0.0786
Today's Open,35.02
Volume Past Day,(Light)
