,RNG
Price/Earnings (TTM),
Price/Sales (TTM),1.78782
Price/Book (MRQ),
Price/Cash Flow (TTM),
5yr Low,28.0
5yr High,449.0
5yr Avg Return,0.2795166666666667
EPS Growth 5yr,
Revenue Growth 5yr,0.3319331
Dividend Growth 5yr,
Short Int Current Month,6658781.0
Short Int Prev Month,6633748.0
Short Int Pct of Float,0.0786265
Days to Cover,2.21065
Float,84.96448
Shares Outstanding,96.02424
Institutions Holding Shares,531.0
% Held by Institutions,0.978584
FCF Growth 5yr,-0.033647851177357545
