,SF
Price/Earnings (TTM),10.77243
Price/Sales (TTM),1.47356
Price/Book (MRQ),1.5135
Price/Cash Flow (TTM),8.84188
5yr Low,20.75
5yr High,83.28
5yr Avg Return,0.13
EPS Growth 5yr,0.5843098
Revenue Growth 5yr,0.1260117
Dividend Growth 5yr,
Short Int Current Month,1261875.0
Short Int Prev Month,1577742.0
Short Int Pct of Float,0.012261200000000002
Days to Cover,1.93391
Float,103.1313
Shares Outstanding,106.2806
Institutions Holding Shares,447.0
% Held by Institutions,0.848536
FCF Growth 5yr,-1.6940879568802902
