,SF
% Above Low,0.28190000000000004
% Held by Institutions,0.8484999999999999
52-Wk Range,['49.31 - 83.28']
Annual Dividend $,1.2
Annual Dividend %,0.018500000000000003
Ask,63.23
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.3
Bid,63.2
Bid Size,100.0
Day Change $,-1.51
Day Change %,-0.0233
Day High,64.43
Day Low,63.2
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",6.01
Ex-dividend,2022-11-30 00:00:00
Ex-dividend Date,11/30/22
Historical Volatility,0.38200000000000006
Last (size),100.0
Last (time),1:59p ET 11/28/22
Market Cap,6.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",10.77
Prev Close,64.72
Price,63.21
Shares Outstanding,106.3M
Short Interest,0.0123
Today's Open,64.0
Volume Past Day,(Light)
