,SF
Next Earnings Announcement,2023-01-25 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,-0.10843373493975905
Growth 1yr High Est,-0.09104046242774566
Growth 1yr Consensus Est,-0.09973709868375236
Growth 2yr Low Est,-0.03141281341582547
Growth 2yr High Est,0.10233350487515736
Growth 2yr Consensus Est,0.03546034572966594
Growth 5yr Low Est,0.022488037736531685
Growth 5yr High Est,0.09588566214797051
Growth 5yr Consensus Est,0.059186849942251096
Growth 5yr Actual/Est,0.17263927346626026
Growth 3yr Historic,0.16825617483512217
