,DIN
% Below High,0.11810000000000001
% Held by Institutions,0.9712000000000001
52-Wk Range,['61.03 - 84.14']
Annual Dividend $,2.04
Annual Dividend %,0.0275
Ask,78.0
Ask Size,400.0
B/A Ratio,0.25
B/A Size,100x400
Beta,1.7
Bid,70.0
Bid Size,100.0
Closing Price,74.2
Day Change $,1.25
Day Change %,0.0171
Day High,74.47
Day Low,72.86
Dividend Pay Date,2022-09-30 00:00:00
"EPS (TTM, GAAP)",5.36
Ex-dividend,2022-09-19 00:00:00
Ex-dividend Date,09/19/22
Historical Volatility,0.49200000000000005
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,1.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",13.84
Prev Close,72.95
Shares Outstanding,15.7M
Short Interest,0.0768
Today's Open,73.37
Volume,132887.0
Volume 10-day Avg,223793.0
Volume Past Day,(Light)
