,DIN
Next Earnings Announcement,2023-03-01 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,-0.08062015503875974
Growth 1yr High Est,-0.046969696969696884
Growth 1yr Consensus Est,-0.06379492600422831
Growth 2yr Low Est,0.0263003777925932
Growth 2yr High Est,0.05839114515585109
Growth 2yr Consensus Est,0.04234576147422214
Growth 5yr Low Est,-0.0007590351154164177
Growth 5yr High Est,0.017290810673163626
Growth 5yr Consensus Est,0.008265887778873604
Growth 5yr Actual/Est,0.49959283353917333
Growth 3yr Historic,0.4777963104376834
