,DIN
Price/Earnings (TTM),13.84057
Price/Sales (TTM),1.24947
Price/Book (MRQ),
Price/Cash Flow (TTM),9.0668
5yr Low,14.16
5yr High,104.47
5yr Avg Return,0.12131666666666668
EPS Growth 5yr,0.005925000000000001
Revenue Growth 5yr,0.0261726
Dividend Growth 5yr,
Short Int Current Month,1178067.0
Short Int Prev Month,1026114.0
Short Int Pct of Float,0.0767929
Days to Cover,3.89068
Float,15.33983
Shares Outstanding,15.67848
Institutions Holding Shares,256.0
% Held by Institutions,0.971237
FCF Growth 5yr,-0.6045514433246595
