,QTRX
% Above Low,0.9073000000000001
% Held by Institutions,0.7992
52-Wk Range,['6.31 - 44.86']
Annual Dividend $,
Annual Dividend %,
Ask,12.08
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,1.3
Bid,11.96
Bid Size,200.0
Day Change $,0.285
Day Change %,0.024300000000000002
Day High,12.06
Day Low,11.67
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.66
Ex-dividend Date,No dividend
Historical Volatility,1.165
Last (size),10.0
Last (time),12:08p ET 11/28/22
Market Cap,444.5M
"P/E Ratio (TTM, GAAP)",
Prev Close,11.75
Price,12.04
Shares Outstanding,37.1M
Short Interest,0.035
Today's Open,11.67
Volume Past Day,(Light)
