,BBWI
% Above Low,0.5678
% Held by Institutions,0.9361
52-Wk Range,['25.75 - 77.91']
Annual Dividend $,0.8
Annual Dividend %,0.019799999999999998
Ask,40.49
Ask Size,300.0
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,1.7
Bid,40.4
Bid Size,100.0
Closing Price,40.37
Day Change $,-0.03
Day Change %,-0.0007000000000000001
Day High,40.43
Day Low,39.57
Dividend Pay Date,2022-12-02 00:00:00
"EPS (TTM, GAAP)",3.82
Ex-dividend,2022-11-17 00:00:00
Ex-dividend Date,11/17/22
Historical Volatility,0.6020000000000001
Last (size),3.0
Last (time),5:00p ET 11/25/22
Market Cap,9.2B
"P/E Ratio (TTM, GAAP)",10.56
Prev Close,40.4
Shares Outstanding,228.4M
Short Interest,0.0728
Today's Open,40.17
Volume,1958446.0
Volume 10-day Avg,6606081.0
Volume Past Day,(Light)
