,BBWI
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,19.0
Growth 1yr Low Est,-0.31818181818181823
Growth 1yr High Est,-0.27192982456140347
Growth 1yr Consensus Est,-0.29505582137161085
Growth 2yr Low Est,-0.1390909090909091
Growth 2yr High Est,-0.004940815895159489
Growth 2yr Consensus Est,-0.0720158624930343
Growth 5yr Low Est,0.27504914004914005
Growth 5yr High Est,0.22252959205242023
Growth 5yr Consensus Est,0.24878936605078017
Growth 5yr Actual/Est,0.17180941683568146
Growth 3yr Historic,0.2031873376953096
