,STNG
Price/Earnings (TTM),10.84208
Price/Sales (TTM),2.43168
Price/Book (MRQ),1.39504
Price/Cash Flow (TTM),5.4543
5yr Low,8.28
5yr High,54.24
5yr Avg Return,0.52155
EPS Growth 5yr,
Revenue Growth 5yr,0.006808300000000001
Dividend Growth 5yr,-0.3965824
Short Int Current Month,4475835.0
Short Int Prev Month,5106259.0
Short Int Pct of Float,0.0923746
Days to Cover,3.2743
Float,48.45307
Shares Outstanding,56.29467
Institutions Holding Shares,256.0
% Held by Institutions,0.553044
FCF Growth 5yr,0.0
