,STNG
% Below High,0.0654
% Held by Institutions,0.5529999999999999
52-Wk Range,['11.02 - 54.24']
Annual Dividend $,0.4
Annual Dividend %,0.0076
Ask,50.72
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,0.5
Bid,50.68
Bid Size,100.0
Day Change $,-1.88
Day Change %,-0.0358
Day High,51.75
Day Low,50.6
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",4.85
Ex-dividend,2022-11-16 00:00:00
Ex-dividend Date,11/16/22
Historical Volatility,0.578
Last (size),100.0
Last (time),3:31p ET 11/28/22
Market Cap,2.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",10.84
Prev Close,52.57
Price,50.69
Shares Outstanding,56.3M
Short Interest,0.0924
Today's Open,51.68
Volume Past Day,(Light)
