,STNG
Next Earnings Announcement,2023-02-16 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,-3.262910798122066
Growth 1yr High Est,-4.019370460048426
Growth 1yr Consensus Est,-3.641140629085246
Growth 2yr Low Est,-2.0251275982311574
Growth 2yr High Est,-2.081858445741936
Growth 2yr Consensus Est,-2.0534930219865464
Growth 5yr Low Est,-2.549272057357357
Growth 5yr High Est,-2.2854466141011813
Growth 5yr Consensus Est,-2.417359335729269
Growth 5yr Actual/Est,-2.5576188124082515
Growth 3yr Historic,-1.5533231514640826
