,RS
% Below High,0.0206
% Held by Institutions,0.8286
52-Wk Range,['145.79 - 215.10']
Annual Dividend $,3.5
Annual Dividend %,0.0165
Ask,210.98
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,0.9
Bid,210.71
Bid Size,200.0
Day Change $,-1.08
Day Change %,-0.0051
Day High,212.24
Day Low,209.55
Dividend Pay Date,2022-12-02 00:00:00
"EPS (TTM, GAAP)",30.58
Ex-dividend,2022-11-17 00:00:00
Ex-dividend Date,11/17/22
Historical Volatility,0.34299999999999997
Last (size),1.0
Last (time),1:18p ET 11/28/22
Market Cap,12.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",6.93
Prev Close,211.75
Price,210.67
Shares Outstanding,58.7M
Short Interest,0.0098
Today's Open,209.55
Volume Past Day,(Light)
