,RS
Price/Earnings (TTM),6.925
Price/Sales (TTM),0.71412
Price/Book (MRQ),1.82539
Price/Cash Flow (TTM),5.77473
5yr Low,68.62
5yr High,215.1
5yr Avg Return,0.21161666666666665
EPS Growth 5yr,0.3947543
Revenue Growth 5yr,0.10348800000000001
Dividend Growth 5yr,0.10756629999999999
Short Int Current Month,571504.0
Short Int Prev Month,805902.0
Short Int Pct of Float,0.0098192
Days to Cover,1.30071
Float,58.22329
Shares Outstanding,58.6909
Institutions Holding Shares,607.0
% Held by Institutions,0.8286180000000001
FCF Growth 5yr,0.39371079093562383
