,RS
Next Earnings Announcement,2023-02-16 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,2.9361997226074896
Growth 1yr High Est,2.482381530984204
Growth 1yr Consensus Est,2.7092906267958465
Growth 2yr Low Est,1.2676065561592769
Growth 2yr High Est,1.1044147710747956
Growth 2yr Consensus Est,1.1860106636170362
Growth 5yr Low Est,0.845071037439518
Growth 5yr High Est,0.7362765140498637
Growth 5yr Consensus Est,0.7906737757446907
Growth 5yr Actual/Est,0.39283905989631984
Growth 3yr Historic,0.39879850328769934
