,GFS
Price/Earnings (TTM),44.38915
Price/Sales (TTM),4.69224
Price/Book (MRQ),4.03676
Price/Cash Flow (TTM),18.50019
5yr Low,36.81
5yr High,79.49
5yr Avg Return,0.21049999999999996
Short Int Current Month,12246913.0
Short Int Prev Month,12965302.0
Short Int Pct of Float,0.0225344
Days to Cover,4.60719
Float,543.5078
Shares Outstanding,545.073
Institutions Holding Shares,295.0
% Held by Institutions,1.021009
FCF Growth 5yr,-22.605564424103175
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
