,GFS
% Below High,0.1495
% Held by Institutions,1.021
52-Wk Range,['36.81 - 79.49']
Annual Dividend $,
Annual Dividend %,
Ask,67.75
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,
Bid,66.07
Bid Size,200.0
Closing Price,67.61
Day Change $,0.03
Day Change %,0.0004
Day High,68.0
Day Low,66.41
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.52
Ex-dividend Date,No dividend
Historical Volatility,0.621
Last (size),1.0
Last (time),1:00p ET 11/25/22
Market Cap,36.5B
"P/E Ratio (TTM, GAAP)",44.39
Prev Close,67.58
Shares Outstanding,545.1M
Short Interest,0.0225
Today's Open,67.04
Volume,452057.0
Volume 10-day Avg,1971764.0
Volume Past Day,(Light)
