,ACGL
% Below High,0.0069
% Held by Institutions,0.9086
52-Wk Range,['40.24 - 59.14']
Annual Dividend $,
Annual Dividend %,
Ask,58.95
Ask Size,2300.0
B/A Ratio,0.043478260869565216
B/A Size,100x2300
Beta,0.8
Bid,58.52
Bid Size,100.0
Closing Price,58.73
Day Change $,0.68
Day Change %,0.011699999999999999
Day High,58.9
Day Low,58.15
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",3.12
Ex-dividend Date,No dividend
Historical Volatility,0.281
Last (size),5.0
Last (time),1:00p ET 11/25/22
Market Cap,21.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",18.81
Prev Close,58.05
Shares Outstanding,369.9M
Short Interest,0.025
Today's Open,58.21
Volume,614807.0
Volume 10-day Avg,1849460.0
Volume Past Day,(Light)
