,ACGL
Price/Earnings (TTM),18.81057
Price/Sales (TTM),2.49305
Price/Book (MRQ),1.97812
Price/Cash Flow (TTM),17.54829
5yr Low,20.93
5yr High,59.14
5yr Avg Return,0.14045
EPS Growth 5yr,0.24100339999999998
Revenue Growth 5yr,0.14850529999999998
Dividend Growth 5yr,
Short Int Current Month,8950504.0
Short Int Prev Month,4012049.0
Short Int Pct of Float,0.0250008
Days to Cover,2.40169
Float,358.4983
Shares Outstanding,369.873
Institutions Holding Shares,708.0
% Held by Institutions,0.908616
FCF Growth 5yr,0.5876086766845551
