,BALY
% Above Low,0.39170000000000005
% Held by Institutions,0.7066
52-Wk Range,['17.54 - 42.08']
Annual Dividend $,
Annual Dividend %,
Ask,27.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.9
Bid,18.0
Bid Size,100.0
Closing Price,24.41
Day Change $,-0.04
Day Change %,-0.0016
Day High,24.74
Day Low,24.09
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.84
Ex-dividend Date,No dividend
Historical Volatility,0.616
Last (size),17.0
Last (time),5:00p ET 11/25/22
Market Cap,1.2B
"P/E Ratio (TTM, GAAP)",
Prev Close,24.45
Shares Outstanding,47.3M
Short Interest,0.0673
Today's Open,24.26
Volume,80652.0
Volume 10-day Avg,310204.0
Volume Past Day,(Light)
