,BALY
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,-0.37226277372262784
Growth 1yr High Est,-0.16891891891891897
Growth 1yr Consensus Est,-0.2705908463207734
Growth 2yr Low Est,-1.2675267356985234
Growth 2yr High Est,0.009036475499890118
Growth 2yr Consensus Est,-0.6292451300993166
Growth 5yr Low Est,-0.6337633678492617
Growth 5yr High Est,0.004518237749945059
Growth 5yr Consensus Est,-0.3146225650496583
Growth 5yr Actual/Est,-0.6295375601410084
Growth 3yr Historic,0.1734386303351821
