,BALY
Price/Earnings (TTM),
Price/Sales (TTM),0.5181
Price/Book (MRQ),1.05687
Price/Cash Flow (TTM),6.05927
5yr Low,7.22
5yr High,75.92
5yr Avg Return,0.05392500000000002
EPS Growth 5yr,
Revenue Growth 5yr,0.26096810000000004
Dividend Growth 5yr,
Short Int Current Month,2589407.0
Short Int Prev Month,2846021.0
Short Int Pct of Float,0.0673381
Days to Cover,8.08248
Float,38.45383
Shares Outstanding,47.26131
Institutions Holding Shares,156.0
% Held by Institutions,0.706593
FCF Growth 5yr,-0.15405773420479305
