,KROS
Price/Earnings (TTM),
Price/Sales (TTM),67.08159
Price/Book (MRQ),5.27008
Price/Cash Flow (TTM),
5yr Low,19.1
5yr High,88.8
5yr Avg Return,0.6791000000000001
Short Int Current Month,709898.0
Short Int Prev Month,723097.0
Short Int Pct of Float,0.028610299999999998
Days to Cover,3.15009
Float,24.81268
Shares Outstanding,27.54325
Institutions Holding Shares,170.0
% Held by Institutions,0.825717
FCF Growth 5yr,
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
