,KROS
% Below High,0.2867
% Held by Institutions,0.8256999999999999
52-Wk Range,['24.38 - 68.29']
Annual Dividend $,
Annual Dividend %,
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,
Bid,
Bid Size,
Closing Price,48.71
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-3.36
Ex-dividend Date,No dividend
Historical Volatility,0.696
Last (size),9.0
Last (time),1:00p ET 11/25/22
Market Cap,1.3B
"P/E Ratio (TTM, GAAP)",
Prev Close,48.71
Shares Outstanding,27.5M
Short Interest,0.0286
Today's Open,
Volume,51425.0
Volume 10-day Avg,179736.0
Volume Past Day,(Light)
