,SFNC
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,0.039823008849557695
Growth 1yr High Est,-0.06589147286821706
Growth 1yr Consensus Est,-0.013034232009329683
Growth 2yr Low Est,-0.0332799849369233
Growth 2yr High Est,-0.035020425230789076
Growth 2yr Consensus Est,-0.03415020508385619
Growth 5yr Low Est,-0.028578429225685625
Growth 5yr High Est,-0.016148889460178256
Growth 5yr Consensus Est,-0.02236365934293194
Growth 5yr Actual/Est,-0.011724837778451763
Growth 3yr Historic,0.005860322250363703
