,SFNC
% Above Low,0.1616
% Held by Institutions,0.6640999999999999
52-Wk Range,['19.87 - 32.31']
Annual Dividend $,0.76
Annual Dividend %,0.0323
Ask,23.09
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.9
Bid,23.09
Bid Size,100.0
Day Change $,-0.44
Day Change %,-0.0187
Day High,23.51
Day Low,23.06
Dividend Pay Date,2023-01-03 00:00:00
"EPS (TTM, GAAP)",1.84
Ex-dividend,2022-12-14 00:00:00
Ex-dividend Date,12/14/22
Historical Volatility,0.271
Last (size),100.0
Last (time),2:03p ET 11/28/22
Market Cap,2.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",12.8
Prev Close,23.52
Price,23.08
Shares Outstanding,127.0M
Short Interest,0.0202
Today's Open,23.4
Volume Past Day,(Light)
