,SFNC
Price/Earnings (TTM),12.80049
Price/Sales (TTM),3.50725
Price/Book (MRQ),0.9457
Price/Cash Flow (TTM),11.06596
5yr Low,13.75
5yr High,33.45
5yr Avg Return,-0.01813333333333333
EPS Growth 5yr,0.0949786
Revenue Growth 5yr,0.1739177
Dividend Growth 5yr,0.0837097
Short Int Current Month,2528488.0
Short Int Prev Month,2822399.0
Short Int Pct of Float,0.0202196
Days to Cover,5.85668
Float,125.1121
Shares Outstanding,126.9697
Institutions Holding Shares,313.0
% Held by Institutions,0.664087
FCF Growth 5yr,0.48616670500728465
