,RAD
Next Earnings Announcement,2022-12-20 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,2.353658536585366
Growth 1yr High Est,-2.583333333333333
Growth 1yr Consensus Est,-0.11483739837398343
Growth 2yr Low Est,1.1586474501108648
Growth 2yr High Est,-1.6293859649122806
Growth 2yr Consensus Est,-0.2353692574007079
Growth 5yr Low Est,0.7724316334072432
Growth 5yr High Est,-1.0862573099415205
Growth 5yr Consensus Est,-0.15691283826713856
Growth 5yr Actual/Est,1.7734473051070268
Growth 3yr Historic,1.7666666666666666
