,RAD
% Above Low,0.36200000000000004
% Held by Institutions,0.513
52-Wk Range,['3.84 - 15.62']
Annual Dividend $,
Annual Dividend %,
Ask,5.43
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.2
Bid,5.22
Bid Size,200.0
Change Since Close,0.00| |(0.00%)
Closing Price,5.23
Day Change $,-0.2
Day Change %,-0.0368
Day High,5.39
Day Low,5.02
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-15.94
Ex-dividend Date,No dividend
Historical Volatility,0.9550000000000001
Last (size),400.0
Last (time),7:00p ET 11/28/22
Last Trade,0.0
Market Cap,295.7M
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,5.43
Shares Outstanding,56.5M
Short Interest,0.172
Today's Open,5.29
Volume,1902170.0
Volume 10-day Avg,1952776.0
Volume Past Day,(Average)
