,HALO
Price/Earnings (TTM),36.68881
Price/Sales (TTM),12.73132
Price/Book (MRQ),76.21311
Price/Cash Flow (TTM),29.04283
5yr Low,12.71
5yr High,56.4
5yr Avg Return,0.28669999999999995
EPS Growth 5yr,
Revenue Growth 5yr,0.2475582
Dividend Growth 5yr,
Short Int Current Month,10139538.0
Short Int Prev Month,10816845.0
Short Int Pct of Float,0.0757973
Days to Cover,6.8374
Float,133.7475
Shares Outstanding,135.2131
Institutions Holding Shares,492.0
% Held by Institutions,0.9840380000000001
FCF Growth 5yr,0.2604604790512936
