,HALO
% Below High,0.0089
% Held by Institutions,0.9840000000000001
52-Wk Range,['31.36 - 55.16']
Annual Dividend $,
Annual Dividend %,
Ask,55.05
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.2
Bid,54.28
Bid Size,100.0
Closing Price,54.67
Day Change $,0.32
Day Change %,0.0059
Day High,55.16
Day Low,54.02
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.49
Ex-dividend Date,No dividend
Historical Volatility,0.389
Last (size),8.0
Last (time),1:00p ET 11/25/22
Market Cap,7.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",36.69
Prev Close,54.35
Shares Outstanding,135.2M
Short Interest,0.0758
Today's Open,54.39
Volume,354870.0
Volume 10-day Avg,1208508.0
Volume Past Day,(Light)
