,HALO
Next Earnings Announcement,2023-02-21 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,0.14973262032085555
Growth 1yr High Est,0.125
Growth 1yr Consensus Est,0.13736631016042777
Growth 2yr Low Est,0.2423081706255441
Growth 2yr High Est,0.3202777777777778
Growth 2yr Consensus Est,0.28129297420166094
Growth 5yr Low Est,0.5792094631479531
Growth 5yr High Est,0.5535858585858586
Growth 5yr Consensus Est,0.5663976608669058
Growth 5yr Actual/Est,-0.2802012770334689
Growth 3yr Historic,-0.4055494505494507
