,PENN
% Above Low,0.33270000000000005
% Held by Institutions,0.8
52-Wk Range,['25.49 - 53.37']
Annual Dividend $,
Annual Dividend %,
Ask,33.97
Ask Size,300.0
B/A Ratio,0.6666666666666666
B/A Size,200x300
Beta,2.2
Bid,33.95
Bid Size,200.0
Day Change $,-1.01
Day Change %,-0.028900000000000002
Day High,34.53
Day Low,33.57
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.38
Ex-dividend Date,No dividend
Historical Volatility,0.5910000000000001
Last (size),75.0
Last (time),10:30a ET 11/28/22
Market Cap,5.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",25.38
Prev Close,34.98
Price,33.97
Shares Outstanding,155.1M
Short Interest,0.0753
Today's Open,33.74
Volume Past Day,(Average)
