,PENN
Price/Earnings (TTM),25.37614
Price/Sales (TTM),0.84933
Price/Book (MRQ),1.5114
Price/Cash Flow (TTM),7.1442
5yr Low,3.75
5yr High,142.0
5yr Avg Return,0.28
EPS Growth 5yr,0.1672386
Revenue Growth 5yr,0.142431
Dividend Growth 5yr,
Short Int Current Month,11596065.0
Short Int Prev Month,11635822.0
Short Int Pct of Float,0.0752771
Days to Cover,3.36615
Float,154.0513
Shares Outstanding,155.1177
Institutions Holding Shares,568.0
% Held by Institutions,0.800049
FCF Growth 5yr,0.34265132309237584
