,OM
Price/Earnings (TTM),
Price/Sales (TTM),8.70685
Price/Book (MRQ),3.47803
Price/Cash Flow (TTM),
5yr Low,11.41
5yr High,66.96
5yr Avg Return,-0.2214
Short Int Current Month,4294039.0
Short Int Prev Month,4420711.0
Short Int Pct of Float,0.0918403
Days to Cover,4.36958
Float,47.90418
Shares Outstanding,48.30788
Institutions Holding Shares,199.0
% Held by Institutions,1.0350679999999999
FCF Growth 5yr,0.2595064208739051
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
