,OM
% Above Low,0.7615999999999999
% Held by Institutions,1.0351000000000001
52-Wk Range,['11.41 - 51.69']
Annual Dividend $,
Annual Dividend %,
Ask,20.62
Ask Size,200.0
Ask close,24.29
B/A Ratio,3.0
B/A Size,600x200
Beta,
Bid,19.2
Bid Size,600.0
Bid close,15.43
Change Since Close,-0.29| |(-1.44%)
Closing Price,20.1
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-3.49
Ex-dividend Date,No dividend
Historical Volatility,0.929
Last (size),4.0
Last (time),12:59p ET 11/25/22
Last Trade,19.81
Market Cap,969.5M
"P/E Ratio (TTM, GAAP)",
Prev Close,20.1
Shares Outstanding,48.3M
Short Interest,0.09179999999999999
Today's Open,
Volume,751.0
Volume 10-day Avg,650419.0
Volume Past Day,(Light)
