,SIGI
Price/Earnings (TTM),25.48591
Price/Sales (TTM),1.63876
Price/Book (MRQ),2.58083
Price/Cash Flow (TTM),20.76165
5yr Low,37.05
5yr High,98.8
5yr Avg Return,0.08134999999999999
EPS Growth 5yr,0.19236509999999998
Revenue Growth 5yr,0.0799923
Dividend Growth 5yr,0.1104563
Short Int Current Month,1396608.0
Short Int Prev Month,1502847.0
Short Int Pct of Float,0.0237014
Days to Cover,4.14246
Float,58.90818
Shares Outstanding,60.27517
Institutions Holding Shares,346.0
% Held by Institutions,0.858631
FCF Growth 5yr,0.6098121181297071
