,SIGI
Next Earnings Announcement,2023-02-01 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,-0.20000000000000007
Growth 1yr High Est,-0.185126582278481
Growth 1yr Consensus Est,-0.19256329113924053
Growth 2yr Low Est,-0.006250000000000033
Growth 2yr High Est,0.03073767973454583
Growth 2yr Consensus Est,0.012243839867272899
Growth 5yr Low Est,-0.006250000000000033
Growth 5yr High Est,0.03073767973454583
Growth 5yr Consensus Est,0.012243839867272899
Growth 5yr Actual/Est,0.11829579081877747
Growth 3yr Historic,0.11350629791894848
