,BVH
% Above Low,0.3177
% Held by Institutions,0.4269
52-Wk Range,['16.24 - 36.10']
Annual Dividend $,0.6
Annual Dividend %,0.027999999999999997
Ask,24.0
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.8
Bid,
Bid Size,
Closing Price,21.4
Day Change $,-0.04
Day Change %,-0.0019
Day High,21.64
Day Low,21.3
Dividend Pay Date,2022-11-21 00:00:00
"EPS (TTM, GAAP)",3.41
Ex-dividend,2022-11-04 00:00:00
Ex-dividend Date,11/04/22
Historical Volatility,0.541
Last (size),6.0
Last (time),5:00p ET 11/25/22
Market Cap,423.2M
"P/E Ratio (TTM, GAAP)",6.28
Prev Close,21.44
Shares Outstanding,19.8M
Short Interest,0.0263
Today's Open,21.41
Volume,11943.0
Volume 10-day Avg,55825.0
Volume Past Day,(Light)
