,BVH
Next Earnings Announcement,2023-03-02 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,0.19202898550724656
Growth 1yr High Est,0.21830985915492973
Growth 1yr Consensus Est,0.20516942233108815
Growth 2yr Low Est,0.0732181401700367
Growth 2yr High Est,0.146727183912725
Growth 2yr Consensus Est,0.10997266204138084
Growth 5yr Low Est,0.0732181401700367
Growth 5yr High Est,0.146727183912725
Growth 5yr Consensus Est,0.10997266204138084
Growth 5yr Actual/Est,0.7210348462405404
Growth 3yr Historic,0.6456140350877194
