,ARIS
Price/Earnings (TTM),146.1859
Price/Sales (TTM),2.97045
Price/Book (MRQ),3.26021
Price/Cash Flow (TTM),12.89962
5yr Low,10.06
5yr High,23.58
5yr Avg Return,0.010549999999999997
Short Int Current Month,1365898.0
Short Int Prev Month,1108338.0
Short Int Pct of Float,0.0533654
Days to Cover,4.92539
Float,25.93247
Shares Outstanding,57.32538
Institutions Holding Shares,131.0
% Held by Institutions,0.86761
FCF Growth 5yr,-0.9741460663030796
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
