,ARIS
% Above Low,0.5716
% Held by Institutions,0.8676
52-Wk Range,['10.06 - 23.58']
Annual Dividend $,0.36
Annual Dividend %,0.022799999999999997
Ask,23.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,
Bid,12.5
Bid Size,100.0
Closing Price,15.81
Day Change $,-0.27
Day Change %,-0.0168
Day High,16.21
Day Low,15.8
Dividend Pay Date,2022-11-30 00:00:00
"EPS (TTM, GAAP)",0.11
Ex-dividend,2022-11-16 00:00:00
Ex-dividend Date,11/16/22
Historical Volatility,0.6709999999999999
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,420.2M
"P/E Ratio (TTM, GAAP)",146.19
Prev Close,16.08
Shares Outstanding,26.5M
Short Interest,0.053399999999999996
Today's Open,16.2
Volume,85247.0
Volume 10-day Avg,279301.0
Volume Past Day,(Light)
