,ITW
Price/Earnings (TTM),26.13556
Price/Sales (TTM),4.49722
Price/Book (MRQ),23.34536
Price/Cash Flow (TTM),22.32195
5yr Low,115.94
5yr High,249.81
5yr Avg Return,0.07446666666666668
EPS Growth 5yr,0.0836209
Revenue Growth 5yr,0.0122837
Dividend Growth 5yr,0.1506892
Short Int Current Month,6280463.0
Short Int Prev Month,6334442.0
Short Int Pct of Float,0.020515400000000003
Days to Cover,6.02448
Float,306.1727
Shares Outstanding,307.1864
Institutions Holding Shares,1845.0
% Held by Institutions,0.7837850000000001
FCF Growth 5yr,0.5705578186869608
