,SYF
% Above Low,0.33799999999999997
% Held by Institutions,0.9718000000000001
52-Wk Range,['27.22 - 50.20']
Annual Dividend $,0.92
Annual Dividend %,0.0248
Ask,36.42
Ask Size,1300.0
B/A Ratio,0.6153846153846154
B/A Size,800x1300
Beta,1.6
Bid,36.41
Bid Size,800.0
Day Change $,-0.635
Day Change %,-0.0171
Day High,36.77
Day Low,36.25
Dividend Pay Date,2022-11-10 00:00:00
"EPS (TTM, GAAP)",6.33
Ex-dividend,2022-10-31 00:00:00
Ex-dividend Date,10/31/22
Historical Volatility,0.445
Last (size),700.0
Last (time),3:51p ET 11/28/22
Market Cap,16.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",5.86
Prev Close,37.05
Price,36.42
Shares Outstanding,450.5M
Short Interest,0.0395
Today's Open,36.5
Volume Past Day,(Light)
