,SYF
Price/Earnings (TTM),5.85688
Price/Sales (TTM),1.0521
Price/Book (MRQ),1.38479
Price/Cash Flow (TTM),4.5947
5yr Low,12.15
5yr High,52.49
5yr Avg Return,0.05579999999999999
EPS Growth 5yr,0.2207969
Revenue Growth 5yr,0.006584799999999999
Dividend Growth 5yr,0.2761504
Short Int Current Month,17718121.0
Short Int Prev Month,16165958.0
Short Int Pct of Float,0.0395474
Days to Cover,3.4314
Float,448.5673
Shares Outstanding,450.5414
Institutions Holding Shares,934.0
% Held by Institutions,0.971815
FCF Growth 5yr,
