,SYF
Next Earnings Announcement,2023-01-27 00:00:00
Growth Analysts,21.0
Growth 1yr Low Est,-0.16493313521545327
Growth 1yr High Est,-0.18950064020486546
Growth 1yr Consensus Est,-0.17721688771015937
Growth 2yr Low Est,-0.2692993078212498
Growth 2yr High Est,-0.11212788724303302
Growth 2yr Consensus Est,-0.1907135975321414
Growth 5yr Low Est,0.015945584184613226
Growth 5yr High Est,0.14800582382034394
Growth 5yr Consensus Est,0.08197570400247857
Growth 5yr Actual/Est,0.3277319195030248
Growth 3yr Historic,0.4097030420559833
