,KMPR
Next Earnings Announcement,2023-01-30 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,-1.375
Growth 1yr High Est,-1.2746268656716417
Growth 1yr Consensus Est,-1.3248134328358208
Growth 2yr Low Est,-1.3958333333333335
Growth 2yr High Est,-2.292204737183647
Growth 2yr Consensus Est,-1.8440190352584902
Growth 5yr Low Est,-0.6898521505376345
Growth 5yr High Est,-1.1281023685918234
Growth 5yr Consensus Est,-0.9089772595647289
Growth 5yr Actual/Est,-1.0439548450522198
Growth 3yr Historic,-0.3674142288057212
