,KMPR
% Below High,0.1566
% Held by Institutions,0.8215
52-Wk Range,['40.65 - 64.36']
Annual Dividend $,1.24
Annual Dividend %,0.022799999999999997
Ask,54.63
Ask Size,
B/A Ratio,
B/A Size,--
Beta,0.8
Bid,
Bid Size,
Closing Price,54.28
Day Change $,0.69
Day Change %,0.0129
Day High,54.52
Day Low,53.79
Dividend Pay Date,2022-12-01 00:00:00
"EPS (TTM, GAAP)",-5.51
Ex-dividend,2022-11-14 00:00:00
Ex-dividend Date,11/14/22
Historical Volatility,0.406
Last (size),765.0
Last (time),5:00p ET 11/25/22
Market Cap,3.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,53.59
Shares Outstanding,63.9M
Short Interest,0.023399999999999997
Today's Open,54.01
Volume,60124.0
Volume 10-day Avg,198395.0
Volume Past Day,(Light)
