,KMPR
Price/Earnings (TTM),
Price/Sales (TTM),0.60192
Price/Book (MRQ),1.42256
Price/Cash Flow (TTM),
5yr Low,40.65
5yr High,91.98
5yr Avg Return,-0.03551666666666667
EPS Growth 5yr,
Revenue Growth 5yr,0.1736498
Dividend Growth 5yr,0.0525194
Short Int Current Month,1427257.0
Short Int Prev Month,1400785.0
Short Int Pct of Float,0.0234321
Days to Cover,3.38652
Float,60.99124
Shares Outstanding,63.88514
Institutions Holding Shares,260.0
% Held by Institutions,0.821504
FCF Growth 5yr,0.6473955817783675
