,SPR
% Above Low,0.1594
% Held by Institutions,0.8584999999999999
52-Wk Range,['21.14 - 53.31']
Annual Dividend $,0.04
Annual Dividend %,0.0015
Ask,24.52
Ask Size,400.0
B/A Ratio,0.5
B/A Size,200x400
Beta,1.7
Bid,24.51
Bid Size,200.0
Day Change $,-1.49
Day Change %,-0.057300000000000004
Day High,25.6
Day Low,24.45
Dividend Pay Date,2022-10-03 00:00:00
"EPS (TTM, GAAP)",-4.05
Ex-dividend,2022-09-09 00:00:00
Ex-dividend Date,09/09/22
Historical Volatility,0.608
Last (size),10.0
Last (time),3:03p ET 11/28/22
Market Cap,2.6B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,26.0
Price,24.51
Shares Outstanding,105.3M
Short Interest,0.044199999999999996
Today's Open,25.43
Volume Past Day,(Below Average)
