,SPR
Price/Earnings (TTM),
Price/Sales (TTM),0.57256
Price/Book (MRQ),
Price/Cash Flow (TTM),
5yr Low,13.69
5yr High,105.2
5yr Avg Return,-0.15191666666666667
EPS Growth 5yr,
Revenue Growth 5yr,-0.1026243
Dividend Growth 5yr,-0.16744679999999998
Short Int Current Month,4610059.0
Short Int Prev Month,5724104.0
Short Int Pct of Float,0.0442255
Days to Cover,1.21227
Float,104.2497
Shares Outstanding,105.2536
Institutions Holding Shares,336.0
% Held by Institutions,0.8584999999999999
FCF Growth 5yr,0.2837526626271876
