,LZ
Next Earnings Announcement,2023-03-09 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,-4.666666666666667
Growth 1yr High Est,18.0
Growth 1yr Consensus Est,6.666666666666666
Growth 2yr Low Est,-1.9242424242424243
Growth 2yr High Est,9.473684210526315
Growth 2yr Consensus Est,3.7747208931419456
Growth 5yr Low Est,-1.9242424242424243
Growth 5yr High Est,9.473684210526315
Growth 5yr Consensus Est,3.7747208931419456
Growth 5yr Actual/Est,2.404761904761905
Growth 3yr Historic,0.0
