,LZ
% Above Low,0.1886
% Held by Institutions,0.6489
52-Wk Range,['7.53 - 19.75']
Annual Dividend $,
Annual Dividend %,
Ask,21.26
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,
Bid,2.5
Bid Size,200.0
Closing Price,8.95
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.38
Ex-dividend Date,No dividend
Historical Volatility,0.6940000000000001
Last (size),46.0
Last (time),1:00p ET 11/25/22
Market Cap,1.7B
"P/E Ratio (TTM, GAAP)",
Prev Close,8.95
Shares Outstanding,192.6M
Short Interest,0.0635
Today's Open,
Volume,299627.0
Volume 10-day Avg,2094383.0
Volume Past Day,(Light)
