,LZ
Price/Earnings (TTM),
Price/Sales (TTM),2.80529
Price/Book (MRQ),11.27858
Price/Cash Flow (TTM),
5yr Low,7.53
5yr High,40.94
5yr Avg Return,-0.5054500000000001
Short Int Current Month,6297773.0
Short Int Prev Month,6839113.0
Short Int Pct of Float,0.0635095
Days to Cover,4.08696
Float,142.6676
Shares Outstanding,192.6493
Institutions Holding Shares,171.0
% Held by Institutions,0.648884
FCF Growth 5yr,0.1551055256088969
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
