,GTES
% Above Low,0.2404
% Held by Institutions,1.0221
52-Wk Range,['9.40 - 16.87']
Annual Dividend $,
Annual Dividend %,
Ask,18.62
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.6
Bid,9.0
Bid Size,100.0
Closing Price,11.66
Day Change $,0.07
Day Change %,0.006
Day High,11.67
Day Low,11.57
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.68
Ex-dividend Date,No dividend
Historical Volatility,0.36700000000000005
Last (size),5.0
Last (time),5:00p ET 11/25/22
Market Cap,3.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",17.05
Prev Close,11.59
Shares Outstanding,282.4M
Short Interest,0.0053
Today's Open,11.61
Volume,187943.0
Volume 10-day Avg,491984.0
Volume Past Day,(Light)
