,GTES
Price/Earnings (TTM),17.04629
Price/Sales (TTM),0.94732
Price/Book (MRQ),1.12168
Price/Cash Flow (TTM),7.43084
5yr Low,5.42
5yr High,20.29
5yr Avg Return,-0.07062
EPS Growth 5yr,0.44337940000000003
Revenue Growth 5yr,0.0481036
Dividend Growth 5yr,
Short Int Current Month,1483848.0
Short Int Prev Month,1515712.0
Short Int Pct of Float,0.005269899999999999
Days to Cover,1.73263
Float,281.5758
Shares Outstanding,282.4484
Institutions Holding Shares,243.0
% Held by Institutions,1.022056
FCF Growth 5yr,-0.6849808023434204
